path,,Model Root/Driver/Plant/UserInterface/DISP_Plant/Angle_SteeringWheel[deg],Model Root/Driver/Plant/UserInterface/DISP_Plant/Pos_AccPedal[%],Model Root/Driver/Plant/UserInterface/DISP_Plant/Pos_BrakePedal[%],Model Root/Driver/Plant/UserInterface/DISP_Plant/Pos_ClutchPedal[%],Model Root/Driver/Plant/UserInterface/DISP_Plant/v_Vehicle[km|h],Model Root/Engine/Control/Interface_External_In/States/n_Engine[rpm]_,Model Root/Environment/Maneuver/UserInterface/PAR_Plant/ManualControl/Angle_SteeringWheel[deg],Model Root/Environment/Maneuver/UserInterface/PAR_Plant/ManualControl/Pos_AccPedal[%],Model Root/Environment/Maneuver/UserInterface/PAR_Plant/ManualControl/Pos_BrakePedal[%],Model Root/Environment/Maneuver/UserInterface/PAR_Plant/ManualControl/Pos_ClutchPedal[%],Model Root/VehicleDynamics/Plant/UserInterface/DISP_Plant/Accelerations/a_y_Vehicle_CoG[m|s2],Model Root/VehicleDynamics/Plant/UserInterface/DISP_Plant/Brake/p_FL_Brake[bar],Model Root/VehicleDynamics/Plant/UserInterface/DISP_Plant/Brake/p_FR_Brake[bar],Model Root/VehicleDynamics/Plant/UserInterface/DISP_Plant/Brake/p_RL_Brake[bar],Model Root/VehicleDynamics/Plant/UserInterface/DISP_Plant/Brake/p_RR_Brake[bar],Model Root/VehicleDynamics/Plant/UserInterface/DISP_Plant/Positions/s_Vehicle[m],Model Root/VehicleDynamics/Plant/UserInterface/DISP_Plant/Tire/v_Circumf_Dyn_FL_Wheel[km|h],Model Root/VehicleDynamics/Plant/UserInterface/DISP_Plant/Tire/v_Circumf_Dyn_FR_Wheel[km|h],Model Root/VehicleDynamics/Plant/UserInterface/DISP_Plant/Tire/v_Circumf_Dyn_RL_Wheel[km|h],Model Root/VehicleDynamics/Plant/UserInterface/DISP_Plant/Tire/v_Circumf_Dyn_RR_Wheel[km|h],Model Root/VehicleDynamics/Plant/UserInterface/DISP_Plant/Velocities/v_x_Vehicle_CoG[km|h],Model Root/VehicleDynamics/Plant/UserInterface/DISP_Plant/Velocities/YawRate_Vehicle_CoG[deg|s]
flags,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
min,,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
max,,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
minWeak,,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
maxWeak,,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
max,,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
minWeak,,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
maxWeak,,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
trace_values,0,-1.1620589448517724e-10,17.419985268822629,0,0,36.663285612215979,3488.3747408402664,0,0,0,100,-1.2117079161712989e-12,2.085034367382832e-10,2.085034367382832e-10,2.085034367382832e-10,2.085034367382832e-10,12.522552571422905,37.114289197013406,37.114289197010613,37.281977180898437,37.281977180895382,36.663285612215979,-2.9843357850176288e-11
,0.0098486962001800536,-1.0615918065653155e-10,16.834038072717025,0,0,36.75369999560273,3478.3500537296954,0,0,0,100,-1.0636247807952583e-12,1.9830959097077994e-10,1.9830959097077994e-10,1.9830959097077994e-10,1.9830959097077994e-10,12.624508981880362,37.180723577390062,37.18072357738744,37.349917392607544,37.349917392604674,36.75369999560273,-2.8006585415984634e-11
,0.020000159163284303,-9.6563949551138615e-11,16.296235316013838,0,0,36.840186830600452,3468.3592308028337,0,0,0,100,-9.2114587417595364e-13,1.8861401329672844e-10,1.8861401329672844e-10,1.8861401329672844e-10,1.8861401329672844e-10,12.72671157949692,37.239484450101976,37.239484450099525,37.410231534127355,37.410231534124662,36.840186830600452,-2.6239368127634865e-11
,0.029850062384033201,-8.7403478232633129e-11,15.80703667533936,0,0,36.92275706073616,3457.4761320734615,0,0,0,100,-7.8238917114711205e-13,1.7939272289879682e-10,1.7939272289879682e-10,1.7939272289879682e-10,1.7939272289879682e-10,12.829149575714547,37.286108197542802,37.286108197540486,37.456895392523755,37.456895392521204,36.92275706073616,-2.4540705600213888e-11
,0.040000717833328252,-7.8661360873127742e-11,15.357714083421046,0,0,37.001065756306318,3445.9706669041684,0,0,0,100,-6.4972656712332604e-13,1.7062240509346793e-10,1.7062240509346793e-10,1.7062240509346793e-10,1.7062240509346793e-10,12.931811692061737,37.329172153289207,37.329172153287054,37.49848592862854,37.498485928626145,37.001065756306318,-2.2908286596038136e-11
,0.049849176029205328,-7.0321794614104636e-11,14.942013872071019,0,0,37.074889885329917,3434.6098741913192,0,0,0,100,-5.2078939116193493e-13,1.6228041133103943e-10,1.6228041133103943e-10,1.6228041133103943e-10,1.6228041133103943e-10,13.034685738438164,37.373837398329499,37.373837398327488,37.540774338697837,37.540774338695591,37.074889885329917,-2.1338524672708005e-11
,0.060001285003280641,-6.2369502082113079e-11,14.578712909785965,0,0,37.144308633772752,3424.4957528698528,0,0,0,100,-3.9689338286172595e-13,1.5434631350785821e-10,1.5434631350785821e-10,1.5434631350785821e-10,1.5434631350785821e-10,13.137759305809089,37.417238887278629,37.41723888727676,37.581666103989939,37.58166610398785,37.144308633772752,-1.9829670625733736e-11
,0.069849666698074339,-5.478966416298651e-11,14.267078474013859,0,0,37.209520176390981,3415.9491128225936,0,0,0,100,-2.7766909987038372e-13,1.467999055648761e-10,1.467999055648761e-10,1.467999055648761e-10,1.467999055648761e-10,13.241020392658315,37.459304835583552,37.459304835581825,37.621627243026126,37.621627243024172,37.209520176390981,-1.8377891890381799e-11
,0.080001282663726817,-4.756786931809407e-11,14.005632143615735,0,0,37.270812663830441,3409.1102261416031,0,0,0,100,-1.6277695064802058e-13,1.3962253575527939e-10,1.3962253575527939e-10,1.3962253575527939e-10,1.3962253575527939e-10,13.344457639639639,37.503100859723887,37.503100859722281,37.66368466723592,37.663684667234087,37.270812663830441,-1.6981591926918568e-11
,0.08984987686195374,-4.0689863470153584e-11,13.791632203548859,0,0,37.328633507084021,3403.9406841608234,0,0,0,100,-5.2821523538196004e-14,1.3279644051067407e-10,1.3279644051067407e-10,1.3279644051067407e-10,1.3279644051067407e-10,13.448060686637,37.548569641441681,37.54856964144021,37.707465783101355,37.707465783099629,37.328633507084021,-1.5643418686961375e-11
